taxonomy	Blank_234_2	UCS_0001_BAL	UCS_0002_BAL	UCS_0002_UA	UCS_0004_BAL	UCS_0005_BAL	UCS_0006_BAL	UCS_0007_BAL	UCS_0007_UA	UCS_0009_BAL	UCS_0009_UA	UCS_0010_BAL	UCS_0010_UA	UCS_0013_BAL	UCS_0013_UA	UCS_0014_BAL	UCS_0014_UA	UCS_0015_BAL	UCS_0015_UA	UCS_0016_BAL	UCS_0016_UA	UCS_0017_BAL	UCS_0018_BAL	UCS_0018_UA	UCS_0019_BAL	UCS_0020_BAL	UCS_0021_BAL	UCS_0021_UA	UCS_0022_BAL	UCS_0022_UA	UCS_0023_BAL	UCS_0023_UA	UCS_0025_BAL	UCS_0025_UA	UCS_0028_BAL	UCS_0028_UA	UCS_0029_BAL	UCS_0030_BAL	UCS_0030_UA	UCS_0031_BAL	UCS_0032_BAL	UCS_0032_UA	UCS_0033_BAL	UCS_0034_BAL	UCS_0035_BAL	UCS_0036_BAL	UCS_0037_BAL	UCS_0038_BAL	UCS_0038_UA	UCS_0039_BAL	UCS_0039_UA	UCS_0040_BAL	UCS_0040_BKG	UCS_0041_BAL	UCS_0041_UA	UCS_0042_BAL	UCS_0042_UA	UCS_0043_BAL	UCS_0043_UA	UCS_0044_BAL	UCS_0046_BAL	UCS_0046_UA	UCS_0047_BAL	UCS_0048_BAL	UCS_0048_UA	UCS_0049_BAL	UCS_0050_BAL	UCS_0050_UA	UCS_0051_BAL	UCS_0051_UA	UCS_0053_BAL	UCS_0053_UA	UCS_0054_BAL	UCS_0054_UA	UCS_0055_BAL	UCS_0055_UA	UCS_0056_BAL	UCS_0057_BAL	UCS_0057_UA	UCS_0058_BAL	UCS_0058_UA	UCS_0059_BAL	UCS_0060_BAL	UCS_0060_UA	UCS_0061_BAL	UCS_0061_UA	UCS_0062_BAL	UCS_0063_BAL	UCS_0063_UA	UCS_0064_BAL	UCS_0065_BAL	UCS_0066_BAL	UCS_0069_BAL	UCS_0069_BKG	UCS_0070_BAL	UCS_0070_BKG	UCS_0071_BAL	UCS_0072_BAL	UCS_0073_BAL	UCS_0073_UA	UCS_0074_BAL	UCS_0074_UA	UCS_0075_BAL	UCS_0076_BAL	UCS_0077_BAL	UCS_0077_UA	UCS_0079_BAL	UCS_0080_BAL	UCS_0081_BAL	UCS_0082_BAL	UCS_0083_BAL	UCS_0083_UA	UCS_0085_BAL	UCS_0085_BKG	UCS_0087_BAL	UCS_0088_BAL	UCS_0088_UA	UCS_0090_BAL	UCS_0093_BAL	UCS_0093_UA	UCS_0094_BAL	UCS_0094_UA	UCS_0095_BAL	UCS_0096_BAL	UCS_0096_UA	UCS_0097_BAL	UCS_0097_UA	UCS_0098_BAL	UCS_0099_BAL	UCS_0099_UA	UCS_0100_BAL	UCS_0101_BAL	UCS_0101_UA	UCS_0103_BAL	UCS_0106_BAL	UCS_0106_UA	UCS_0109_BAL	UCS_0114_BAL	UCS_0115_BAL	UCS_0116_BAL	UCS_0118_BAL	UCS_0123_BAL	UCS_0128_BAL	UCS_0130_BAL	UCS_0130_UA	UCS_0134_UA	UCS_0136_BKG	UCS_0138_BAL	UCS_0144_BAL	UCS_0147_BAL	UCS_0148_BAL	UCS_0148_UA	UCS_0151_BAL	UCS_0153_BAL	UCS_0153_UA	UCS_0154_BAL	UCS_0154_UA	UCS_0156_BAL	UCS_0158_BAL	UCS_0158_UA	UCS_0159_BAL	UCS_0159_UA	UCS_0160_BAL	UCS_0163_BAL	UCS_0164_BAL	UCS_0164_UA	UCS_0167_UA	UCS_0168_BAL	UCS_0172_UA	UCS_0174_BAL	UCS_0174_UA	UCS_0175_BAL	UCS_0175_UA	UCS_0176_BAL	UCS_0177_BAL	UCS_0177_UA	UCS_0180_BAL	UCS_0182_UA	UCS_0185_BAL	UCS_0185_UA	UCS_0190_BAL	UCS_0191_BAL	UCS_0191_UA	UCS_0192_BAL	UCS_0192_UA	UCS_0194_BAL
Tellurium_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	152	60	0	0	0	0	0	0	0	0	0	3	0	0
Copper_resistance	0	0	1	0	0	1	0	0	0	0	0	8	257	2	14	0	0	2	4	74	143	0	1	2	32	0	1	21	0	0	1	0	25	6	0	18	0	14	161	0	1	108	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	1	1	100	152	0	0	0	0	35	0	8	0	0	4	0	2	168	15567.908	0	16	144	1	6	0	0	0	0	0	0	0	1	217	0	7	0	0	4	662	0	0	0	0	7	0	0	0	60	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	59	0	121	0	0	6	0	0	0	12	0	0	0	7	49	78	0	0	0	0	0	0	0	0	1	0	40	0	15	446	0	0	0	0	0	0	57	0	0	0	6	24	420.001	0	0	29	117	0	0	25	0	1	0	0	0	0
Cationic_antimicrobial_peptides	0	0	3	0.292	3.274	37.34	0	0	0.286	2.333	0	3	0	0	0	1	0	0	0	2	41.217	0	0	0.834	278	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	10.667	809	0	0	0.83	0	1	0	0.001	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.259	179.988	0	0	0	0	0	5.4	0	0	350.358	31146.997	1	2	0	5.75	0	0	1.565	0	2.285	0	0	0	1.5	404.573	0	2	0	0	0	0	0	0	0	0	21.964	0	0	0	725	0	0	0	0.275	0	0	0	0	0	0	0	0	0	0	0	73.317	0	0	1	1	0	0	0	1	1	0.947	0	2.5	154.028	1369.191	3	0	0	1	0	3	0	1	0	0	0	0	0	0.299	0	0	0	1	0.26	3	0	0	0	0	0	0.602	0	0	489.499	0	0	71.858	0	0	0	0	0	0	0	0	21
Aluminum_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rifampin	0	20	0	3	1.858	32	0	1	41	1	130.53	100	1052	52.046	318.423	6	83	60.001	3124.794	95	3190.146	0	1	428	249	0	1.875	12	0.888	2	194.574	1623	33	5	9.999	1843.592	0	639	5760	0	23	1108	0.888	0	24	1	2	31	3391.5	2	5893.007	1	0	6	838.936	0	18	15	439.207	74.574	0	6.514	0	121.354	113.444	0.858	4	307.351	2	496.545	484	2348.658	0	1	2	1969	52	1	18	2.502	29.966	1.776	31.999	7588	138	12187.001	2.858	66.5	513.314	0	2	18	61	0	30	0	0	10	8	6420.147	1	102	0	0	137.087	11971.109	5	1	15	0	26.001	4126.999	424.999	0	651	76	1553	0	0	1	14.574	250.602	64.001	50.315	194.255	0	127.152	3	2	28.87	45	9	2160.002	2	1018	931	23	6.716	0	287.254	7.833	1.716	40	656.001	6822.999	151	0	0	1.716	0	3	694	8	0	4205.822	3.776	110.296	3	366.101	9008.445	2	67.271	1.776	0	1	0	3033.121	0	2726	34.888	109.166	39	433.08	763	6	2104.71	68	0	0.858	102.199	0	0	0	0	0	30
Multi-metal_resistance	0	3	26	581	3	82	0	5	32	0	153	19.999	157.999	1	6	3	0	6	258	644.001	1427.001	0	10	75	666	0	1	8	0	0	22	21	98	20	2	1271	1	75	716	0	56	2570.285	2	0	3.001	0	12	4	158	3	1178	0	0	1	71	0	26	2	40	11	1	0	0	12	19	2	0	2	0	28	241	664	1	6	0	678	0	0	68	10	84	9	0.999	829.001	574	52624.054	0	14	62	2	0	4.999	2	0	3	0	0	1	6.999	1169	3	25	0	0	0	21	0	2	0	0	16	3650.999	362.001	0	1838	6	67	0	3	61	4	370	1	115	272	1	219	0	6	141	254	1.998	297.999	2	7	45	143	5	1	186	10	0	11	173	1295.001	1158.926	0	22	0	0	4	43	3	1	2496	3	169	1	167	3760	1	231	1	3	6	5	1425.845	0	33	5	10	45	825	0	1	152	382	0	4	906	0	0	21	5	87	61
Naphthoquinone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acid_resistance	0	0	0	0	0	0	0	0	0	0	0	20	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	1995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	135	13788.917	0	0	0	3	0	0	0	0	0	0	0	0	0	177.999	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	3	555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	7	137	0	0	0	120	0	0	0	0	0	0	0	0	0
Bacitracin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	1	0	0	19	1763	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
Glycopeptides	0	0	4	375.053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	3	10.019	0	0	0	0	0	1	0	0	4.001	0	0	0	0	0	0	0	0	0	73.32	0	0	0	0	0	0	0	0	501.999	532.557	2	0	70.638	3	2111	0	0	0	0	0	0	1	0	74	10	142.122	0	0	1	0	0	0	5	53.455	0	0	0	57.001	0	0	0	0	0	0	0	0	0	0	0	11	1266.016	0	0	0	0	0	20.761	1	0	0	0	0	0	0	0	1	238.179	0	647.695	1497.923	0	87.094	0	5	270.686	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	137.326	0	0	0	0	55.469	0	0	0	5	0	0	0	0	6	0	0	0	0	5	0	0	0	3	0	0	23.415	0	122.073	0
Polyamine_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cadmium_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phenicol	0	0	0	0	0	6	0	0	2	0	6	1	36	11	56	3.999	351	9	43	2.001	670.967	0	4	68.999	21	0	0	13	0	0	0	1	0	0	1	1196.998	0	0.999	0	0	8.999	418	0	0	0	0	0	0	7	0	0	0	0	0	0	0	3.999	8	144	0	0	0	0	43	24	0	0	0	0	0	4	87	2	21.999	0	0	0	1	539.999	0	36.999	0	0	0	0	0	1	0	0	0	2.001	0	0	0	1	0	0	0	0	0	0	0	0	0	35	4157	2	0	0	0	3.997	0	0	0	80	0	0	0	0	0	0	0.999	0	0	0	0	2.999	0	51	3738.001	2	0	0	0	9.999	128.58	85	2	0	105	0	0	1	0	0.999	618	0	2	0	0	0	0	0	0	0	1	5.999	2	120	3163	0	4	1	0	0	0	500	0	0	0	0	0	6	71	0	31.999	0	0	0	6	0	2	689	0	2	4
Lipopeptides	0	3	19	645	2.143	30	0	83	1605	1	218.469	17	449	104.955	478.577	2	37	126	530.206	3	1822.855	1	85	419	116	0	0.125	9	0.111	4	24.429	36	169	39	4	1780.408	2	0	0	0	65	2111	1.111	2	1	0	0	1	155.5	6	11235.995	0	0	16	1963.063	0	54	54	1064.793	120.429	3	332.484	0	80.647	102.556	1.143	1	175.649	0	335.455	105	649.343	0	10	0	0	2	0	177	34.5	315.034	0.222	2	32	13	1605	4.143	30.5	331.686	0	0	0	30	0	0	0	0	0	11	7467.853	2	185	0	0	318.913	33108.891	1	0	0	0	8	67	2	0	308	9	145	0	15	293	4.429	1160.398	10	475.684	1018.744	0	125.847	0	15	476.129	2	0	52	0	1	58	260	17.286	1	810.747	12.167	2.286	51	179	3977	6524	0	88	1.286	0	1	104	0	1	6047.176	15.222	375.706	0	931.899	24990.556	0	654.728	3.222	0	1	18	5497.88	0	159	3.111	39.833	2	60.922	2	1	471.291	0	0	3.143	1754.8	0	1	60	2	225	30
Biguanide_resistance	0	0	0	0	0	0	0	0	0	0	0	16	48	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	1324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	174	0	0	0	0	0	0	0	0	0	0	39	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	3	108	0	0	0	0	0	0	0	0	0	0	3	0	0
Chromium_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1146	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
MLS	0	65.648	41.998	1106.229	30	64.102	0	554.003	14108.557	3	6544.813	600.534	10860.939	237.191	4081.797	54	21214.947	168.998	50512.358	316.71	41275.85	1	10.44	3254.877	165.999	0	11	587.61	11	476.991	1418.313	8637.234	816.673	402.83	444.447	33052.926	5	3883.155	34233.594	0	406.544	10357.38	12	9.998	186.832	88.999	17	516.558	44120.827	181.505	54830.959	30.999	0	53.122	3078.074	4.999	882.477	136.137	2702.356	168.441	7	1451.001	0	565.138	748.372	3	232.116	20562.321	2.998	1622.738	4860.501	50674.958	5	303.999	3.001	9983.536	28	3	1804.798	37	533.999	11	508.602	75078.844	685.068	57433.474	61.7	694.761	8404.3	7	29	123.669	353.636	0	103.059	0	6	48	41	18652.621	2	259.087	15	44	116.597	8927.028	20.999	8	67	0	57.309	35044.837	3450	0	512	1161.371	19329.305	7	120.255	1982.025	73.039	8947.092	164	2773.447	5231.908	16	1036.459	11	49	2746.005	203	55	16772.223	0	2011.788	16736.503	722.999	56.391	10.999	296.001	1205.384	15	392.706	6809.961	47976.104	11355.539	0	108	23.999	0	13.431	3680.998	45.911	10.288	62033.547	204.118	13697.237	20	1178.841	23354.354	10	1764.084	11	1	21.336	130.612	73430.084	34.669	19911.351	6765.898	13612.38	646.743	7342.937	3141.781	126.598	59098.652	490.405	119	46.873	26644.447	0	19.998	1673.976	16	5.997	46.274
Sodium_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	64	5860.383	0	0	0	2	0	0	0	0	0	0	0	0	0	73	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0
Cobalt_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fluoroquinolones	0	31	38.113	1087.286	0	43	0	147	2990	1	473.165	73.46	853.392	72	422.646	10	63	117.08	1840.985	19	4269.403	0	57	1385	278	0	2	4	0	3	273.999	2492.001	315	56.001	9	4362.09	1	879.944	8554.839	0	44	2021.512	2	0	2.999	0	3	21.999	2694	12	8691.67	4	0	21	1478.538	0	48	47	779.385	100	4	563.143	0	62.452	87.423	4	0	5	0	296.028	340.345	2346.799	0	19	0	324	30	1	335	48	517	3.001	19	3496.847	143.917	12396.304	7.109	67	467.099	1	0	9	87	0	26	0	2	10	9	6877.366	2	130	0	0	151.504	16887.054	5	1	4	0	49.327	1895.277	173.649	0	893	36	1064	0	41	704.143	14	2446.053	70.001	794	1826.846	1	9	0	18	791.143	56.314	12	1625.023	1	1253.999	1000	537	22	1	452.928	9.084	0	51	398.94	4839.424	3298.091	0	181	3	0	0	310	11	3	8252.649	13	612.287	4	486.245	13428.25	0	795	1	0	20	113	4751.813	0	3539	16.999	67	47.75	607.812	728.489	10	2392.051	203.234	0	2	3117.002	0	0	152.143	10	393	60
Trimethoprim	0	0	3	120	0	14	0	18	352	0	154	0	18	0	9	0	4	0	2	0	742.989	0	0	144	0	0	0	1	0	1	2	1	39	9	0	884	0	0	1	0	0	1	0	1	0	0	0	0	26	1	759	0	0	3	163	0	6	0	0	6	0	162	0	8	26	0	0	0	0	35	0	26	0	0	0	1	0	1	73	11	100	0	0	0	0	127	0	8	95	0	0	0	6	0	1	0	0	0	0	428	0	26	0	0	0	14	0	0	0	0	1	13	2	0	0	0	16	0	8	85	1	521	0	203	488	0	28	0	7	175	10.932	0	23	0	1	12	98	0	0	3	2	1	4	9	184	12	0	24	0	0	0	0	0	1	1414	1	127	0	0	58	0	87	0	0	0	5	31	1	8	4	11	0	2	0	3	90	0	0	1	532	0	0	26	0	58	2
Mycobacterium_tuberculosis-specific_Drug	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	118	0	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	23	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
Quaternary_Ammonium_Compounds_(QACs)_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phenolic_compound_resistance	0	2	0	0	2	45	0	1	1	1	201	11	68	0	9	6	0	1	102	2	84	0	0	45	356	0	0	0	0	0	18	219	3	1	1	1881	1	61	629	0	17	1101	0	0	1	1	1	1	271	0	0	0	0	1	0	0	0	8	146	10	4	415	0	3	3	1	0	0	0	0	25	186	0	0	0	0	1	0	31	0	0	1	0	5	29	2413	0	1	0	2	0	0	3	0	1	0	0	0	0	34	0	1	0	0	1	8	0	0	0	0	10	0	0	0	1092.999	2	44	0	1	0	1	3	0	41	81	0	53	0	0	0	7	2	266	0	1	44	0	2	0	1	0	0	0	45	333	0	0	0	0	0	0	0	1	0	1	0	3	0	0	24	0	0	0	1	4	0	115	0	283	1	0	0	48	1	1	200	18	0	0	10	0	0	0	0	0	35
Elfamycins	0	1	13	416	0	26	0	65	1161.662	0	190.999	67.001	375	12	76	3	25	16	576	22	1224.001	1	14	246	102	0	1	14	0	5.001	18	16.001	154	24	6.999	862	0	336	2971.999	0	6	570.129	0	0	5	0	2	2	252	2	1434	0.999	0	3	251	0	14	11	172.731	11	1	233	0	51	54	0	0.999	170	1	218	62	486	0	12	1	217	0	0.999	95	18	196	0	27	6619	60.999	5620	1	40	397	1	0	16	18.999	0	4	0	0	4	0.999	768	0	18	0	0	42	4025.463	2.001	1	7.999	0	12	3748	338	0	339	2.001	31	2	14	228	4	813	17	286	731	0.999	109	1	13	299	18	9	1163.001	0	0	19	217	4	0.999	102.536	11	0.999	14	328.999	2690	617.79	0	62	2	0	1	0.999	0	0	2351	3	242	0.999	124	3421.616	2	424	0	0	0	10	741.408	1	32.999	6	31	15	213	416	1	266.999	49	0	0	1342	0	0	46	2	147	12
Sulfonamides	0	2	1	0	0	8	0	0	5.904	0	4	3	74	9	49	0	0.996	9	237	0	733.278	0	1	139	53	0	0	0	0	0	32	337	0	1	2	277.001	0	110	1222	0	8	272	0	0	0	0	0	3	338	1	912	0	0	1	143	0	2	2	90.001	11	0	0	0	3	0	0	0	0	0	0	48	259	1.003	1	0	0	1	0	3	0	0	2	0	4	25.001	2000	0	0	0	0	0	0	0	0	3	0	0	0	0	944	0	33.001	0	0	25	2414	1	1	0	0	22.517	0	0	0	145	3.991	141.896	0	0	0	1	45	21.001	0	0	0	0	0	0	1	53.319	0	54	0	351	181	0	1	0	50	0	1	5	19	427	426	0	0	0	0	1	60	2	0	227	2	10	1.992	73	1810.877	0	0	0	0	0	0	571	0	518	0	0	2	81	135	2	313	63.999	0	0	2	0	0	0	2	0	5
Fusidic_acid	0	3	10	684	0	8	0	59	1306.338	0	178	1	8	30	125	3	25	49	96	1	1328	0	15	290	0	0	0	4	1	2	13	2	130	20	7	999	1	0	0	0	6	375.871	1	1	0	0	0	0	83	2	1377	2	0	1	260	0	15	15	301.27	15	1	310	0	14	32	1	2	163	1	65	30	477	0	5	0	0	2	1	145	20	204	0	0	0	2	198	2	21	201	0	0	0	3	0	0	0	0	0	1	662	0	14	0	0	86	8622.537	2	0	0	0	0	41	1	0	0	1	28	0	16	234	5	883	0	324	749	0	133	1	12	344	0	0	45	0	1	15	217	5	0	212.464	5	0	15	0	0	1325.21	0	64	1	0	0	0	0	0	2521	5	261	2	241	6561.384	0	548	1	1	0	10	1153.593	0	21	3	42	0	17	0	0	140	1	0	2	1586	0	0	54	0	173	1
Gold_resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
