UCS.0002.UA_S1_L001	UCS.0002.UA_S1_L002	UCS.0007.UA_S2_L001	UCS.0007.UA_S2_L002	UCS.0010.UA_S3_L001	UCS.0010.UA_S3_L002	UCS.0016.UA_S4_L001	UCS.0016.UA_S4_L002	UCS.0018.UA_S5_L001	UCS.0018.UA_S5_L002	UCS.0020.BAL_S12_L001	UCS.0020.BAL_S12_L002	UCS.0025.BAL_S8_L001	UCS.0025.BAL_S8_L002	UCS.0040.BKG_S16_L001	UCS.0040.BKG_S16_L002	UCS.0047.BAL_S7_L001	UCS.0047.BAL_S7_L002	UCS.0064.BAL_S6_L001	UCS.0064.BAL_S6_L002	UCS.0069.BKG_S17_L001	UCS.0069.BKG_S17_L002	UCS.0070.BKG_S18_L001	UCS.0070.BKG_S18_L002	UCS.0081.BAL_S9_L001	UCS.0081.BAL_S9_L002	UCS.0085.BKG_S20_L001	UCS.0085.BKG_S20_L002	UCS.0136.BKG_S19_L001	UCS.0136.BKG_S19_L002	UCS.0147.BAL_S11_L001	UCS.0147.BAL_S11_L002	UCS.0163.BAL_S10_L001	UCS.0163.BAL_S10_L002	UCS.0191.BAL_S13_L001	UCS.0191.BAL_S13_L002	UCS.0192.BAL_S14_L001	UCS.0192.BAL_S14_L002	UCS.0194.BAL_S15_L001	UCS.0194.BAL_S15_L002
Streptomyces sp. WAC 01438	1.38633828317715e-06	4.79948242381542e-07	4.00899297303712e-07	1.22820121948099e-06	7.36231911088708e-07	5.12999536504919e-07	1.02576115140867e-05	8.76019406749924e-06	1.58290128922034e-06	3.31499038652788e-06	1.09488491664641e-06	0	1.88480451749947e-06	5.87411190770595e-06	7.87186605805215e-06	1.21898446404301e-05	7.96479560343283e-06	4.20962235477855e-06	2.57249284846988e-06	0	2.04024581740659e-05	1.01622459015098e-05	2.07951439179923e-05	2.67483455602386e-05	2.0904189826767e-06	2.23381822080846e-06	1.06791139830377e-05	7.95480398567499e-06	1.61613242398949e-05	1.20108337720624e-05	1.21461669733574e-05	4.33319683763295e-06	2.63540722312412e-06	5.68546851103265e-06	3.28019060094185e-06	8.28443543939462e-06	3.34697784635364e-06	3.56742795579243e-06	0	2.16334791069267e-06
Streptomyces albireticuli	1.38633828317715e-06	9.59896484763083e-07	1.20269789191114e-06	1.84230182922149e-06	9.81642548118277e-07	5.12999536504919e-07	1.3724469761008e-05	1.41510827244219e-05	6.33160515688135e-06	8.83997436407434e-06	0	2.37201778064528e-06	4.71201129374867e-06	5.87411190770595e-06	1.64593563031999e-05	1.79038343156316e-05	3.98239780171641e-06	1.26288670643357e-05	0	8.25588851248153e-06	1.2169887331899e-05	1.76898354581837e-05	3.35321695677625e-05	3.30260184978457e-05	2.0904189826767e-06	4.46763644161693e-06	6.79579980738762e-06	7.95480398567499e-06	1.04573274493438e-05	1.20108337720624e-05	6.07308348667869e-06	0	2.63540722312412e-06	1.13709370220653e-05	6.5603812018837e-06	5.91745388528187e-06	3.34697784635364e-06	0	9.81290711298385e-07	3.24502186603901e-06
Streptomyces sp. Z022	9.24225522118103e-07	2.39974121190771e-06	6.01348945955568e-07	2.04700203246832e-07	1.96328509623655e-06	1.79549837776722e-06	6.8979756871733e-06	6.77604754793745e-06	1.58290128922034e-06	1.10499679550929e-06	4.37953966658565e-06	0	1.88480451749947e-06	1.95803730256865e-06	9.30311443224345e-06	5.33305703018815e-06	1.59295912068657e-05	1.26288670643357e-05	2.57249284846988e-06	1.10078513499754e-05	1.57492659589281e-05	9.40948694584238e-06	2.31345976087664e-05	2.97507108782246e-05	0	2.23381822080846e-06	1.01936997110814e-05	4.24256212569333e-06	3.80266452703409e-06	1.10099309577239e-05	2.02436116222623e-06	0	7.90622166937235e-06	2.84273425551633e-06	3.28019060094185e-06	7.10094466233825e-06	3.34697784635364e-06	7.13485591158487e-06	0	3.24502186603901e-06
Streptomyces sp. GGCR-6	9.24225522118103e-07	9.59896484763083e-07	2.80629508112598e-06	6.14100609740495e-07	9.81642548118277e-07	1.02599907300984e-06	4.96797212703155e-06	4.75446430159147e-06	3.69343634151412e-06	4.41998718203717e-06	1.09488491664641e-06	1.18600889032264e-06	0	3.9160746051373e-06	1.25234232741739e-05	1.02851814153629e-05	3.98239780171641e-06	0	1.28624642423494e-05	1.10078513499754e-05	3.14985319178561e-05	1.54315585911815e-05	3.5091805361612e-05	3.02965954814948e-05	4.1808379653534e-06	4.46763644161693e-06	9.22287116716891e-06	1.06064053142333e-05	1.42599919763778e-05	2.30207647297863e-05	0	2.16659841881647e-06	2.63540722312412e-06	2.84273425551633e-06	4.37358746792247e-06	3.55047233116912e-06	3.34697784635364e-06	2.14045677347546e-05	9.81290711298385e-07	1.08167395534634e-06
Streptomyces spongiicola	9.24225522118103e-07	0	1.8040468378667e-06	1.02350101623416e-06	1.96328509623655e-06	2.82149745077705e-06	8.36334876061426e-06	8.72275734071506e-06	3.69343634151412e-06	4.41998718203717e-06	1.09488491664641e-06	2.37201778064528e-06	4.71201129374867e-06	2.93705595385298e-06	7.1562418709565e-06	1.18089119954166e-05	0	0	5.14498569693976e-06	0	8.59050870486985e-06	1.12913843350109e-05	2.75535656913398e-05	2.4837749448793e-05	0	0	1.01936997110814e-05	7.95480398567499e-06	4.75333065879262e-06	1.00090281433853e-05	0	6.49979525644942e-06	5.27081444624823e-06	2.84273425551633e-06	6.5603812018837e-06	4.7339631082255e-06	6.69395569270727e-06	0	9.81290711298385e-07	1.08167395534634e-06
Streptomyces xinghaiensis	9.24225522118103e-07	9.59896484763083e-07	8.01798594607423e-07	1.22820121948099e-06	6.62608719979837e-06	8.97749188883608e-06	6.25464116712605e-06	6.73861082115326e-06	1.10803090245424e-05	6.07748237530111e-06	3.28465474993923e-06	1.18600889032264e-06	1.88480451749947e-06	1.95803730256865e-06	1.4312483741913e-05	1.44754405105107e-05	3.98239780171641e-06	4.20962235477855e-06	7.71747854540964e-06	2.75196283749384e-06	1.36016387827106e-05	1.80662149360174e-05	3.43119874646872e-05	3.73930953240071e-05	0	0	7.28121407934387e-06	3.71224185998166e-06	9.50666131758523e-06	7.00631970036973e-06	2.02436116222623e-06	6.49979525644942e-06	1.58124433387447e-05	0	5.46698433490309e-06	3.55047233116912e-06	1.00409335390609e-05	7.13485591158487e-06	9.81290711298385e-07	1.08167395534634e-06
Streptomyces hundungensis	9.24225522118103e-07	1.43984472714462e-06	6.01348945955568e-07	1.43290142272782e-06	1.71787445920698e-06	5.12999536504919e-07	2.60907888685829e-06	3.33186868379245e-06	5.8039713938079e-06	1.65749519326394e-06	0	0	0	4.89509325642163e-06	1.14499869935304e-05	6.47585496522847e-06	1.19471934051492e-05	8.41924470955711e-06	2.57249284846988e-06	0	1.25278251946019e-05	9.78586642367608e-06	1.89755688251679e-05	2.56565763536983e-05	8.36167593070679e-06	0	2.42707135978129e-06	6.36384318853999e-06	7.60532905406819e-06	6.0054168860312e-06	2.02436116222623e-06	6.49979525644942e-06	7.90622166937235e-06	2.84273425551633e-06	1.09339686698062e-05	1.42018893246765e-05	0	2.14045677347546e-05	9.81290711298385e-07	2.16334791069267e-06
Streptomyces sp. CCM_MD2014	9.24225522118103e-07	4.79948242381542e-07	8.01798594607423e-07	2.04700203246832e-07	0	5.12999536504919e-07	3.82426631361421e-06	3.444178864145e-06	3.69343634151412e-06	5.52498397754647e-07	2.18976983329282e-06	0	1.88480451749947e-06	0	7.51405396450432e-06	6.85678761024191e-06	3.98239780171641e-06	0	0	2.75196283749384e-06	7.15875725405821e-06	5.26931268967173e-06	1.79358116292683e-05	1.31012304784842e-05	0	2.23381822080846e-06	4.85414271956258e-06	2.65160132855833e-06	3.80266452703409e-06	8.00722251470827e-06	2.02436116222623e-06	0	0	0	5.46698433490309e-06	2.36698155411275e-06	0	0	1.96258142259677e-06	1.08167395534634e-06
Streptomyces leeuwenhoekii	9.24225522118103e-07	4.79948242381542e-07	4.00899297303712e-07	4.09400406493664e-07	1.71787445920698e-06	2.30849791427213e-06	3.57408066692917e-07	4.86677448194402e-07	1.58290128922034e-06	5.52498397754647e-07	0	0	9.42402258749734e-07	9.79018651284326e-07	6.79842977740867e-06	6.09492232021503e-06	3.98239780171641e-06	0	2.57249284846988e-06	8.25588851248153e-06	8.23257084216694e-06	1.61843175468489e-05	1.58562972374691e-05	1.20094612719439e-05	0	0	5.33955699151884e-06	6.36384318853999e-06	7.60532905406819e-06	1.00090281433853e-06	4.04872232445246e-06	2.16659841881647e-06	5.27081444624823e-06	2.84273425551633e-06	0	7.10094466233825e-06	3.34697784635364e-06	3.56742795579243e-06	9.81290711298385e-07	0
Streptomyces pluripotens	9.24225522118103e-07	9.59896484763083e-07	8.01798594607423e-07	4.09400406493664e-07	4.90821274059139e-07	5.12999536504919e-07	5.36112100039376e-07	1.01079162317299e-06	1.05526752614689e-06	0	1.09488491664641e-06	1.18600889032264e-06	7.53921806999787e-06	4.89509325642163e-06	8.5874902451478e-06	1.29517099304569e-05	0	0	0	5.50392567498768e-06	1.53913280962252e-05	1.01622459015098e-05	2.28746583097915e-05	1.8560076511186e-05	2.0904189826767e-06	0	7.28121407934387e-06	5.30320265711666e-06	1.71119903716534e-05	1.00090281433853e-05	2.02436116222623e-06	0	0	0	2.18679373396123e-06	5.91745388528187e-06	0	0	9.81290711298385e-07	2.16334791069267e-06
Streptomyces sp. 4F	9.24225522118103e-07	1.91979296952617e-06	1.20269789191114e-06	1.43290142272782e-06	2.20869573326612e-06	1.79549837776722e-06	1.11153908741497e-05	9.20943478890946e-06	1.05526752614689e-06	2.20999359101859e-06	1.09488491664641e-06	0	2.8272067762492e-06	5.87411190770595e-06	1.00187386193391e-05	5.33305703018815e-06	3.98239780171641e-06	4.20962235477855e-06	0	0	9.30638443027567e-06	1.20441432906782e-05	2.18349011138919e-05	2.04706726226316e-05	2.0904189826767e-06	2.23381822080846e-06	1.45624281586878e-06	5.30320265711666e-06	1.23586597128608e-05	5.00451407169267e-06	4.04872232445246e-06	0	5.27081444624823e-06	0	0	5.91745388528187e-06	3.34697784635364e-06	0	0	0
Streptomyces nigra	9.24225522118103e-07	4.79948242381542e-07	1.40314754056299e-06	6.14100609740495e-07	2.20869573326612e-06	1.79549837776722e-06	3.28815421357484e-06	3.14468504987152e-06	7.38687268302824e-06	3.86748878428253e-06	1.09488491664641e-06	1.18600889032264e-06	1.88480451749947e-06	5.87411190770595e-06	2.14687256128695e-05	1.37135752204838e-05	3.98239780171641e-06	0	0	2.75196283749384e-06	1.32437009200077e-05	1.731345598035e-05	2.93731407841641e-05	2.62024609569685e-05	4.1808379653534e-06	2.23381822080846e-06	9.22287116716891e-06	7.42448371996332e-06	1.14079935811023e-05	1.30117365864009e-05	2.02436116222623e-06	0	5.27081444624823e-06	2.84273425551633e-06	2.18679373396123e-06	5.91745388528187e-06	3.34697784635364e-06	1.42697118231697e-05	3.92516284519354e-06	2.16334791069267e-06
Streptomyces gilvosporeus	9.24225522118103e-07	0	8.01798594607423e-07	4.09400406493664e-07	1.47246382217742e-06	2.56499768252459e-07	1.00074258674017e-05	9.8458591442406e-06	1.10803090245424e-05	1.04974695573383e-05	0	2.37201778064528e-06	5.6544135524984e-06	1.95803730256865e-06	8.5874902451478e-06	1.06661140603763e-05	7.96479560343283e-06	1.26288670643357e-05	2.57249284846988e-06	2.75196283749384e-06	1.25278251946019e-05	9.40948694584238e-06	1.94954474231178e-05	1.80141919079158e-05	2.0904189826767e-06	2.23381822080846e-06	7.28121407934387e-06	4.77288239140499e-06	9.50666131758523e-06	7.00631970036973e-06	6.07308348667869e-06	0	2.63540722312412e-06	2.84273425551633e-06	5.46698433490309e-06	9.46792621645099e-06	1.00409335390609e-05	7.13485591158487e-06	9.81290711298385e-07	2.16334791069267e-06
Streptomyces ambofaciens	9.24225522118103e-07	1.91979296952617e-06	8.01798594607423e-07	1.84230182922149e-06	2.69951700732526e-06	2.56499768252459e-07	6.86223488050401e-06	7.22528826934767e-06	4.74870386766101e-06	1.10499679550929e-06	0	1.18600889032264e-06	2.8272067762492e-06	5.87411190770595e-06	9.66092652579127e-06	1.06661140603763e-05	1.59295912068657e-05	0	0	1.65117770249631e-05	2.21921474875805e-05	1.3549661202013e-05	3.06728372790386e-05	3.16613069896702e-05	2.0904189826767e-06	4.46763644161693e-06	1.40770138867315e-05	5.30320265711666e-06	4.75333065879262e-06	1.70153478437551e-05	4.04872232445246e-06	0	2.63540722312412e-06	2.84273425551633e-06	6.5603812018837e-06	8.28443543939462e-06	3.34697784635364e-06	3.56742795579243e-06	1.96258142259677e-06	3.24502186603901e-06
Streptomyces sp. KPB2	9.24225522118103e-07	9.59896484763083e-07	0	6.14100609740495e-07	2.45410637029569e-07	0	4.11019276696855e-06	3.81854613198685e-06	0	0	2.18976983329282e-06	0	9.42402258749734e-07	9.79018651284326e-07	7.51405396450432e-06	6.09492232021503e-06	3.98239780171641e-06	0	2.57249284846988e-06	0	3.93731648973202e-06	5.64569216750543e-06	7.5382396702722e-06	1.28282881768491e-05	2.0904189826767e-06	2.23381822080846e-06	2.91248563173755e-06	4.77288239140499e-06	4.75333065879262e-06	3.0027084430156e-06	0	0	2.63540722312412e-06	5.68546851103265e-06	0	0	0	0	9.81290711298385e-07	2.16334791069267e-06
Streptomyces lividans	9.24225522118103e-07	4.79948242381542e-07	2.00449648651856e-07	0	4.90821274059139e-07	2.56499768252459e-07	4.18167438030713e-06	3.59392577128174e-06	0	0	1.09488491664641e-06	0	0	0	7.1562418709565e-07	3.80932645013439e-07	3.98239780171641e-06	0	0	0	1.07381358810873e-06	3.76379477833695e-07	2.85933228872394e-06	2.45648071471579e-06	2.0904189826767e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces reticuli	9.24225522118103e-07	9.59896484763083e-07	5.21169086494825e-06	5.32220528441763e-06	3.1903382813844e-06	2.56499768252459e-06	6.14741874711817e-06	6.81348427472163e-06	4.74870386766101e-06	3.86748878428253e-06	0	1.18600889032264e-06	2.8272067762492e-06	4.89509325642163e-06	7.1562418709565e-06	1.25707772854435e-05	2.78767846120149e-05	2.94673564834499e-05	2.57249284846988e-06	2.75196283749384e-06	1.64651416843339e-05	9.78586642367608e-06	2.75535656913398e-05	2.67483455602386e-05	2.0904189826767e-06	2.23381822080846e-06	8.25204262325639e-06	1.00760850485217e-05	1.90133226351705e-05	1.10099309577239e-05	2.02436116222623e-06	2.16659841881647e-06	5.27081444624823e-06	5.68546851103265e-06	4.37358746792247e-06	4.7339631082255e-06	0	0	1.96258142259677e-06	0
Streptomyces peucetius	9.24225522118103e-07	9.59896484763083e-07	1.40314754056299e-06	6.14100609740495e-07	4.66280210356182e-06	1.79549837776722e-06	1.81563297880002e-05	1.85311797581715e-05	5.27633763073446e-06	3.31499038652788e-06	1.09488491664641e-06	1.18600889032264e-06	3.76960903499893e-06	5.87411190770595e-06	6.44061768386085e-06	8.7614508353091e-06	3.98239780171641e-06	4.20962235477855e-06	2.57249284846988e-06	0	1.43175145081164e-05	1.54315585911815e-05	1.68960544333687e-05	1.82871342095509e-05	2.0904189826767e-06	0	8.25204262325639e-06	7.95480398567499e-06	7.60532905406819e-06	6.0054168860312e-06	0	2.16659841881647e-06	7.90622166937235e-06	0	1.74943498716899e-05	1.06514169935074e-05	0	1.42697118231697e-05	0	1.08167395534634e-06
Streptomyces avermitilis	9.24225522118103e-07	2.87968945428925e-06	8.01798594607423e-07	1.02350101623416e-06	0	5.12999536504919e-07	1.27952087876064e-05	1.12684547620396e-05	2.63816881536723e-06	4.41998718203717e-06	0	0	3.76960903499893e-06	3.9160746051373e-06	9.66092652579127e-06	1.40945078654973e-05	7.96479560343283e-06	0	5.14498569693976e-06	0	2.11183338994717e-05	1.99481123251858e-05	2.75535656913398e-05	3.19342492913053e-05	0	4.46763644161693e-06	9.70828543912517e-06	9.54576478280999e-06	1.61613242398949e-05	1.30117365864009e-05	0	0	0	2.84273425551633e-06	3.28019060094185e-06	3.55047233116912e-06	0	1.07022838673773e-05	9.81290711298385e-07	1.08167395534634e-06
Streptomyces collinus	9.24225522118103e-07	9.59896484763083e-07	1.00224824325928e-06	2.25170223571515e-06	7.36231911088708e-07	2.30849791427213e-06	1.21161334608899e-05	1.22418096584284e-05	2.11053505229378e-06	4.41998718203717e-06	2.18976983329282e-06	1.18600889032264e-06	3.76960903499893e-06	6.85313055899028e-06	1.07343628064347e-05	1.29517099304569e-05	7.96479560343283e-06	0	2.57249284846988e-06	5.50392567498768e-06	1.00222601556815e-05	1.91953533695185e-05	2.52141120005656e-05	3.05695377831299e-05	0	2.23381822080846e-06	6.31038553543136e-06	1.06064053142333e-05	4.75333065879262e-06	1.10099309577239e-05	2.02436116222623e-06	2.16659841881647e-06	7.90622166937235e-06	1.42136712775816e-05	3.28019060094185e-06	0	3.34697784635364e-06	3.56742795579243e-06	1.96258142259677e-06	2.16334791069267e-06
Streptomyces venezuelae	9.24225522118103e-07	3.83958593905233e-06	2.20494613517041e-06	1.43290142272782e-06	1.54608701328629e-05	1.48769865586426e-05	2.79850516220554e-05	2.80026716345702e-05	1.10803090245424e-05	1.16024663528476e-05	2.18976983329282e-06	2.37201778064528e-06	2.8272067762492e-06	1.27272424666962e-05	1.93218530515825e-05	1.86656996056585e-05	0	1.26288670643357e-05	5.14498569693976e-06	2.20157026999507e-05	2.86350290162328e-05	2.03244918030195e-05	5.40673741867799e-05	5.51343449302878e-05	2.0904189826767e-06	8.93527288323385e-06	1.74749137904253e-05	1.48489674399266e-05	1.14079935811023e-05	1.80162506580936e-05	6.07308348667869e-06	4.33319683763295e-06	5.27081444624823e-06	1.98991397886143e-05	9.84057180282556e-06	5.91745388528187e-06	3.34697784635364e-06	7.13485591158487e-06	9.81290711298385e-07	2.16334791069267e-06
Streptomyces luteoverticillatus	9.24225522118103e-07	1.43984472714462e-06	1.60359718921485e-06	2.45640243896198e-06	2.94492764435483e-06	2.56499768252459e-06	1.91213315680711e-05	1.80070655831929e-05	3.69343634151412e-06	2.20999359101859e-06	0	0	2.8272067762492e-06	9.79018651284326e-07	1.28812353677217e-05	1.63801037355779e-05	3.98239780171641e-06	8.41924470955711e-06	2.57249284846988e-06	2.75196283749384e-06	2.25500853502834e-05	1.58079380690152e-05	2.91132014851892e-05	3.00236531798597e-05	0	0	5.33955699151884e-06	9.54576478280999e-06	1.71119903716534e-05	1.30117365864009e-05	8.09744464890492e-06	2.16659841881647e-06	0	5.68546851103265e-06	4.37358746792247e-06	5.91745388528187e-06	6.69395569270727e-06	7.13485591158487e-06	1.96258142259677e-06	1.08167395534634e-06
Streptomyces sp. NEAU-S7GS2	9.24225522118103e-07	0	4.00899297303712e-07	6.14100609740495e-07	2.20869573326612e-06	2.56499768252459e-06	1.67981791345671e-06	2.24620360705109e-06	2.63816881536723e-06	1.10499679550929e-06	2.18976983329282e-06	0	2.8272067762492e-06	9.79018651284326e-07	6.44061768386085e-06	6.09492232021503e-06	0	4.20962235477855e-06	0	2.75196283749384e-06	1.36016387827106e-05	7.15121007884021e-06	1.42966614436197e-05	1.39200573833895e-05	0	0	6.31038553543136e-06	3.71224185998166e-06	6.65466292230966e-06	7.00631970036973e-06	0	2.16659841881647e-06	2.63540722312412e-06	0	2.18679373396123e-06	0	0	0	0	0
Streptomyces griseochromogenes	9.24225522118103e-07	9.59896484763083e-07	2.20494613517041e-06	2.04700203246832e-06	0	2.05199814601968e-06	1.75487360746222e-05	1.60603557904153e-05	1.05526752614689e-06	3.31499038652788e-06	0	3.55802667096793e-06	1.03664248462471e-05	1.17482238154119e-05	7.51405396450432e-06	1.10470467053897e-05	1.59295912068657e-05	3.36769788382284e-05	7.71747854540964e-06	8.25588851248153e-06	1.43175145081164e-05	8.65672799017499e-06	2.10550832169672e-05	2.72942301635088e-05	6.27125694803009e-06	8.93527288323385e-06	5.33955699151884e-06	5.30320265711666e-06	1.61613242398949e-05	9.0081253290468e-06	2.02436116222623e-06	6.49979525644942e-06	1.31770361156206e-05	1.13709370220653e-05	4.37358746792247e-06	8.28443543939462e-06	3.34697784635364e-06	3.56742795579243e-06	6.8690349790887e-06	0
Streptomyces violaceusniger	9.24225522118103e-07	9.59896484763083e-07	6.01348945955568e-07	8.18800812987327e-07	2.45410637029569e-07	2.56499768252459e-07	1.11868724874883e-05	1.1755132210234e-05	3.69343634151412e-06	3.86748878428253e-06	0	0	0	9.79018651284326e-07	4.65155721612172e-06	4.57119174016127e-06	3.98239780171641e-06	0	5.14498569693976e-06	2.75196283749384e-06	3.22144076432619e-06	4.89293321183804e-06	1.50764793405444e-05	2.10165572259018e-05	0	2.23381822080846e-06	6.31038553543136e-06	4.24256212569333e-06	3.80266452703409e-06	8.00722251470827e-06	2.02436116222623e-06	2.16659841881647e-06	0	5.68546851103265e-06	4.37358746792247e-06	3.55047233116912e-06	0	3.56742795579243e-06	1.96258142259677e-06	3.24502186603901e-06
Streptomyces sp. Tu6071	9.24225522118103e-07	0	2.00449648651856e-07	1.02350101623416e-06	0	0	2.1444484001575e-07	1.12310180352554e-07	5.27633763073446e-07	0	0	0	9.42402258749734e-07	1.95803730256865e-06	2.8624967483826e-06	2.66652851509408e-06	0	0	5.14498569693976e-06	0	2.50556503892037e-06	1.88189738916848e-06	5.19878597949807e-06	3.00236531798597e-06	0	0	4.36872844760633e-06	2.65160132855833e-06	0	0	2.02436116222623e-06	0	0	0	0	1.18349077705637e-06	0	0	0	0
Streptomyces sp. 3214.6	9.24225522118103e-07	1.43984472714462e-06	1.60359718921485e-06	2.04700203246832e-07	2.45410637029569e-07	5.12999536504919e-07	5.50408422707092e-06	4.79190102837565e-06	2.11053505229378e-06	4.41998718203717e-06	1.09488491664641e-06	2.37201778064528e-06	0	1.95803730256865e-06	1.32390474612695e-05	9.14238348032254e-06	1.19471934051492e-05	0	0	8.25588851248153e-06	1.53913280962252e-05	1.69370765025163e-05	2.65138084954401e-05	2.29271533373474e-05	4.1808379653534e-06	0	1.11645282549939e-05	5.83352292282833e-06	8.55599518582671e-06	5.00451407169267e-06	2.02436116222623e-06	2.16659841881647e-06	2.63540722312412e-06	2.84273425551633e-06	2.18679373396123e-06	0	0	0	0	0
Streptomyces sp. SAT1	9.24225522118103e-07	1.43984472714462e-06	1.40314754056299e-06	2.66110264220881e-06	2.69951700732526e-06	1.53899860951476e-06	1.39031737943545e-05	1.34397849155223e-05	2.63816881536723e-06	3.31499038652788e-06	0	1.18600889032264e-06	4.71201129374867e-06	9.79018651284326e-07	1.35968595548173e-05	1.02851814153629e-05	7.96479560343283e-06	4.20962235477855e-06	1.02899713938795e-05	2.75196283749384e-06	1.46754523708193e-05	1.12913843350109e-05	3.14526551759633e-05	3.13883646880351e-05	0	0	1.06791139830377e-05	9.01544451709832e-06	9.50666131758523e-06	1.40126394007395e-05	0	4.33319683763295e-06	2.63540722312412e-06	2.84273425551633e-06	7.65377806886432e-06	8.28443543939462e-06	0	7.13485591158487e-06	3.92516284519354e-06	5.40836977673168e-06
Streptomyces qaidamensis	4.62112761059052e-07	1.91979296952617e-06	2.60584543247413e-06	2.45640243896198e-06	3.43574891841397e-06	3.07799721902951e-06	1.01146482874096e-05	7.86171262467881e-06	6.33160515688135e-06	2.76249198877323e-06	1.09488491664641e-06	2.37201778064528e-06	9.42402258749734e-07	2.93705595385298e-06	1.28812353677217e-05	9.52331612533598e-06	0	4.20962235477855e-06	0	1.10078513499754e-05	1.68230795470368e-05	2.18300097143543e-05	2.703368709339e-05	2.26542110357123e-05	2.0904189826767e-06	2.23381822080846e-06	8.73745689521265e-06	5.30320265711666e-06	9.50666131758523e-06	1.10099309577239e-05	4.04872232445246e-06	2.16659841881647e-06	5.27081444624823e-06	2.84273425551633e-06	2.18679373396123e-06	1.18349077705637e-06	6.69395569270727e-06	3.56742795579243e-06	0	1.08167395534634e-06
Streptomyces sp. WAC00288	4.62112761059052e-07	9.59896484763083e-07	4.00899297303712e-07	8.18800812987327e-07	1.47246382217742e-06	1.2824988412623e-06	1.46537307344096e-06	1.57234252493576e-06	3.16580257844067e-06	3.86748878428253e-06	1.09488491664641e-06	1.18600889032264e-06	9.42402258749734e-06	8.81116786155893e-06	1.46702958354608e-05	1.40945078654973e-05	3.98239780171641e-06	8.41924470955711e-06	2.57249284846988e-06	0	2.11183338994717e-05	3.12394966601967e-05	3.40520481657123e-05	2.97507108782246e-05	0	0	1.26207710708627e-05	7.42448371996332e-06	1.14079935811023e-05	1.80162506580936e-05	6.07308348667869e-06	2.16659841881647e-06	2.63540722312412e-06	2.84273425551633e-06	4.37358746792247e-06	2.36698155411275e-06	3.34697784635364e-06	3.56742795579243e-06	0	2.16334791069267e-06
Streptomyces albus	4.62112761059052e-07	2.39974121190771e-06	2.20494613517041e-06	2.45640243896198e-06	1.22705318514785e-06	0	3.78852550694492e-06	3.444178864145e-06	4.22107010458756e-06	6.07748237530111e-06	2.18976983329282e-06	2.37201778064528e-06	9.42402258749734e-07	3.9160746051373e-06	1.61015442096521e-05	1.98084975406988e-05	3.98239780171641e-06	4.20962235477855e-06	5.14498569693976e-06	5.50392567498768e-06	2.32659610756892e-05	2.03244918030195e-05	4.75688917124073e-05	4.47625374681545e-05	0	6.70145466242539e-06	1.65040852465128e-05	1.16670458456567e-05	1.04573274493438e-05	1.30117365864009e-05	0	2.16659841881647e-06	5.27081444624823e-06	2.84273425551633e-06	9.84057180282556e-06	3.55047233116912e-06	3.34697784635364e-06	0	1.96258142259677e-06	2.16334791069267e-06
Streptomyces sp. Tue 6075	4.62112761059052e-07	0	2.00449648651856e-07	6.14100609740495e-07	7.36231911088708e-07	1.2824988412623e-06	7.39834698054338e-06	6.28937009974305e-06	2.11053505229378e-06	1.10499679550929e-06	0	1.18600889032264e-06	3.76960903499893e-06	9.79018651284326e-07	1.4312483741913e-06	3.04746116010751e-06	3.98239780171641e-06	8.41924470955711e-06	5.14498569693976e-06	0	9.30638443027567e-06	1.09150048571772e-05	8.83793616514672e-06	1.55577111932e-05	0	0	7.28121407934387e-06	6.36384318853999e-06	1.14079935811023e-05	8.00722251470827e-06	6.07308348667869e-06	0	5.27081444624823e-06	0	0	1.18349077705637e-06	0	0	9.81290711298385e-07	0
Streptomyces sp. Mg1	4.62112761059052e-07	0	4.00899297303712e-07	1.02350101623416e-06	7.36231911088708e-07	0	1.39389146010238e-06	1.27284871066228e-06	5.27633763073446e-07	3.31499038652788e-06	0	2.37201778064528e-06	2.8272067762492e-06	2.93705595385298e-06	4.2937451225739e-06	8.38051819029567e-06	3.98239780171641e-06	4.20962235477855e-06	0	0	5.36906794054366e-06	7.9039690345076e-06	1.19572077528456e-05	1.47388842882948e-05	0	2.23381822080846e-06	4.85414271956258e-06	9.54576478280999e-06	7.60532905406819e-06	5.00451407169267e-06	2.02436116222623e-06	0	2.63540722312412e-06	5.68546851103265e-06	2.18679373396123e-06	4.7339631082255e-06	3.34697784635364e-06	3.56742795579243e-06	0	0
Streptomyces puniciscabiei	4.62112761059052e-07	4.79948242381542e-07	1.00224824325928e-06	1.63760162597465e-06	9.81642548118277e-07	7.69499304757378e-07	4.3246376069843e-06	2.43338724097201e-06	2.11053505229378e-06	6.62998077305576e-06	0	0	9.42402258749734e-07	5.87411190770595e-06	1.25234232741739e-05	5.71398967520159e-06	7.96479560343283e-06	4.20962235477855e-06	2.57249284846988e-06	0	1.46754523708193e-05	1.95717328473522e-05	2.72936263923649e-05	2.64754032586036e-05	2.0904189826767e-06	0	8.73745689521265e-06	8.48512425138665e-06	8.55599518582671e-06	1.40126394007395e-05	0	6.49979525644942e-06	2.63540722312412e-06	0	5.46698433490309e-06	8.28443543939462e-06	1.00409335390609e-05	3.56742795579243e-06	3.92516284519354e-06	0
