UCS.0002.UA_S1_L001	UCS.0002.UA_S1_L002	UCS.0007.UA_S2_L001	UCS.0007.UA_S2_L002	UCS.0010.UA_S3_L001	UCS.0010.UA_S3_L002	UCS.0016.UA_S4_L001	UCS.0016.UA_S4_L002	UCS.0018.UA_S5_L001	UCS.0018.UA_S5_L002	UCS.0020.BAL_S12_L001	UCS.0020.BAL_S12_L002	UCS.0025.BAL_S8_L001	UCS.0025.BAL_S8_L002	UCS.0040.BKG_S16_L001	UCS.0040.BKG_S16_L002	UCS.0047.BAL_S7_L001	UCS.0047.BAL_S7_L002	UCS.0064.BAL_S6_L001	UCS.0064.BAL_S6_L002	UCS.0069.BKG_S17_L001	UCS.0069.BKG_S17_L002	UCS.0070.BKG_S18_L001	UCS.0070.BKG_S18_L002	UCS.0081.BAL_S9_L001	UCS.0081.BAL_S9_L002	UCS.0085.BKG_S20_L001	UCS.0085.BKG_S20_L002	UCS.0136.BKG_S19_L001	UCS.0136.BKG_S19_L002	UCS.0147.BAL_S11_L001	UCS.0147.BAL_S11_L002	UCS.0163.BAL_S10_L001	UCS.0163.BAL_S10_L002	UCS.0191.BAL_S13_L001	UCS.0191.BAL_S13_L002	UCS.0192.BAL_S14_L001	UCS.0192.BAL_S14_L002	UCS.0194.BAL_S15_L001	UCS.0194.BAL_S15_L002
Staphylococcus pseudintermedius	0.000251389342016124	0.000276450187611768	1.8040468378667e-05	2.57922256091008e-05	7.36231911088708e-07	2.05199814601968e-06	5.79001068042526e-06	5.46576211049098e-06	1.26632103137627e-05	9.94497115958364e-06	0	1.18600889032264e-06	1.22512293637465e-05	2.44754662821081e-05	7.1562418709565e-07	3.04746116010751e-06	0	0	2.57249284846988e-06	5.50392567498768e-06	3.57937862702911e-07	1.50551791133478e-06	1.29969649487452e-06	8.18826904905264e-07	0	6.70145466242539e-06	4.85414271956258e-07	0	3.80266452703409e-06	0	4.04872232445246e-06	2.16659841881647e-06	2.63540722312412e-06	8.52820276654898e-06	4.37358746792247e-06	3.55047233116912e-06	0	0	3.92516284519354e-06	3.24502186603901e-06
Staphylococcus simulans	0.000216268772175636	0.000217416553798838	0.000685738248037999	0.000710309705266506	1.71787445920698e-06	3.59099675553443e-06	0.000257726956892263	0.000258051357723386	6.59542203841807e-05	7.3482286901368e-05	3.28465474993923e-06	2.37201778064528e-06	1.60208383987455e-05	2.25174289795395e-05	2.14687256128695e-06	7.61865290026879e-07	0	8.41924470955711e-06	2.57249284846988e-06	0	1.53913280962252e-05	1.39260406798467e-05	5.19878597949807e-07	1.36471150817544e-06	4.1808379653534e-06	0	4.85414271956258e-07	1.590960797135e-06	0	0	4.04872232445246e-06	2.16659841881647e-06	2.63540722312412e-06	1.98991397886143e-05	1.09339686698062e-06	3.55047233116912e-06	1.67348892317682e-05	1.78371397789622e-05	9.81290711298385e-07	0
Staphylococcus xylosus	0.000199170600016451	0.000223175932707417	9.40108852177204e-05	8.06518800792517e-05	1.71787445920698e-06	3.33449698728197e-06	1.36529881476694e-05	1.43382663583428e-05	5.06528412550508e-05	4.75148622068996e-05	5.47442458323206e-06	8.30206223225849e-06	5.08897219724856e-05	4.99299512155006e-05	1.35968595548173e-05	1.75229016706182e-05	3.98239780171641e-05	4.63058459025641e-05	1.54349570908193e-05	1.10078513499754e-05	1.68230795470368e-05	2.86048403153608e-05	6.49848247437258e-06	4.91296142943159e-06	4.1808379653534e-06	1.56367275456592e-05	2.42707135978129e-06	9.01544451709832e-06	9.50666131758523e-07	8.00722251470827e-06	2.02436116222623e-05	5.84981573080448e-05	2.63540722312412e-05	1.7056405533098e-05	5.46698433490309e-06	8.28443543939462e-06	2.67758227708291e-05	2.85394236463395e-05	1.96258142259677e-06	2.16334791069267e-06
Staphylococcus succinus	0.000123384107202767	0.000122386801807293	5.41214051360011e-06	9.62090955260109e-06	1.96328509623655e-06	2.82149745077705e-06	1.17944662008663e-05	1.11935813084713e-05	5.06528412550508e-05	5.96698269575018e-05	3.28465474993923e-06	3.55802667096793e-06	1.69632406574952e-05	2.05593916769708e-05	1.25234232741739e-05	1.75229016706182e-05	7.96479560343283e-06	8.41924470955711e-06	2.57249284846988e-06	5.50392567498768e-06	1.25278251946019e-05	1.09150048571772e-05	5.45872527847297e-06	3.00236531798597e-06	2.0904189826767e-06	6.70145466242539e-06	3.88331417565007e-06	5.83352292282833e-06	4.75333065879262e-06	7.00631970036973e-06	8.09744464890492e-06	2.16659841881647e-06	1.31770361156206e-05	5.68546851103265e-06	0	3.55047233116912e-06	3.34697784635364e-06	0	3.92516284519354e-06	2.16334791069267e-06
Staphylococcus cohnii	8.78014246012198e-05	9.26300107796375e-05	0.000101227072569187	8.67928861766567e-05	7.85314038494622e-06	7.18199351106886e-06	2.00505925414726e-05	2.23122891633741e-05	2.32158855752316e-05	1.43649583416208e-05	0.250482296805783	0.235840239858438	4.2408101643738e-05	5.48250444719222e-05	2.46890344547999e-05	2.62843525059273e-05	1.59295912068657e-05	2.10481117738928e-05	1.02899713938795e-05	2.47676655374446e-05	5.83438716205744e-05	5.60805421972206e-05	2.20948404128668e-05	2.01977303209965e-05	8.36167593070679e-06	1.34029093248508e-05	5.77642983627947e-05	5.19713860397433e-05	3.89773114020994e-05	4.40397238308955e-05	8.09744464890492e-06	1.29995905128988e-05	1.31770361156206e-05	2.55846082996469e-05	9.84057180282556e-06	1.30183985476201e-05	6.69395569270727e-06	2.14045677347546e-05	5.88774426779031e-06	9.73506559811702e-06
Staphylococcus saprophyticus	7.44001545305073e-05	9.69495449610714e-05	1.40314754056299e-05	2.37452235766325e-05	4.90821274059139e-06	4.10399629203935e-06	1.9728925281449e-05	1.9242477567071e-05	0.000157234861395887	0.000188954452032089	2.18976983329282e-06	5.93004445161321e-06	1.03664248462471e-05	1.86013543744022e-05	4.2937451225739e-06	7.23772025525535e-06	1.19471934051492e-05	8.41924470955711e-06	7.71747854540964e-06	5.50392567498768e-06	1.86127688605513e-05	1.12913843350109e-05	3.11927158769884e-06	3.00236531798597e-06	4.1808379653534e-06	2.23381822080846e-06	2.28144707819441e-05	2.545537275416e-05	7.60532905406819e-06	5.00451407169267e-06	1.01218058111312e-05	1.08329920940824e-05	2.63540722312412e-06	5.68546851103265e-06	5.46698433490309e-06	9.46792621645099e-06	1.00409335390609e-05	1.07022838673773e-05	1.96258142259677e-06	2.16334791069267e-06
Staphylococcus simiae	6.65442375925034e-05	6.62328574486527e-05	1.06238313785484e-05	1.31008130077972e-05	4.90821274059139e-06	3.84749652378689e-06	8.39908956728355e-06	9.0971246085569e-06	5.22357425442711e-05	4.75148622068996e-05	4.37953966658565e-06	4.74403556129057e-06	1.60208383987455e-05	2.25174289795395e-05	1.07343628064347e-06	7.61865290026879e-07	3.98239780171641e-06	4.20962235477855e-06	2.57249284846988e-06	1.65117770249631e-05	4.65319221513784e-06	3.01103582266956e-06	1.29969649487452e-06	2.72942301635088e-06	8.36167593070679e-06	1.11690911040423e-05	2.42707135978129e-06	2.65160132855833e-06	1.90133226351705e-06	2.00180562867707e-06	4.04872232445246e-06	6.49979525644942e-06	7.90622166937235e-06	1.13709370220653e-05	7.65377806886432e-06	7.10094466233825e-06	1.67348892317682e-05	7.13485591158487e-06	1.96258142259677e-06	1.08167395534634e-06
Staphylococcus agnetis	6.05367716987358e-05	5.7593789085785e-05	2.28512599463116e-05	2.29264227636452e-05	1.22705318514785e-06	1.53899860951476e-06	7.3268653672048e-06	7.41247190326859e-06	2.11053505229378e-05	1.82324471259033e-05	3.28465474993923e-06	2.37201778064528e-06	3.20416767974909e-05	2.74125222359611e-05	4.2937451225739e-06	6.85678761024191e-06	0	0	1.54349570908193e-05	2.75196283749384e-06	7.87463297946403e-06	4.14017425617065e-06	1.55963579384942e-06	3.00236531798597e-06	6.27125694803009e-06	2.23381822080846e-06	1.45624281586878e-06	1.590960797135e-06	4.75333065879262e-06	7.00631970036973e-06	2.02436116222623e-06	6.49979525644942e-06	5.27081444624823e-06	2.84273425551633e-06	1.09339686698062e-06	1.18349077705637e-06	0	7.13485591158487e-06	1.96258142259677e-06	0
Staphylococcus pettenkoferi	5.12945164775547e-05	6.33531679943635e-05	2.12476627570967e-05	2.94768292675438e-05	5.64444465168009e-06	7.43849327932132e-06	6.32612278046463e-06	7.97402280503136e-06	1.16079427876158e-05	1.43649583416208e-05	1.09488491664641e-06	0	3.95808948674888e-05	3.13285968410984e-05	3.43499609805912e-05	1.10470467053897e-05	7.96479560343283e-06	0	2.57249284846988e-06	0	9.30638443027567e-06	1.27969022463456e-05	2.1574961814917e-05	1.99247880193614e-05	4.1808379653534e-06	2.23381822080846e-06	1.65040852465128e-05	3.0228255145565e-05	9.50666131758523e-06	1.5013542215078e-05	2.02436116222623e-06	2.16659841881647e-06	2.63540722312412e-06	2.84273425551633e-06	1.09339686698062e-06	2.36698155411275e-06	0	3.56742795579243e-06	0	0
Staphylococcus stepanovicii	2.7264652902484e-05	1.82380332104986e-05	4.20944262168897e-06	3.68460365844297e-06	1.47246382217742e-06	3.33449698728197e-06	3.53833986025988e-06	3.63136249806593e-06	6.33160515688135e-06	3.31499038652788e-06	2.18976983329282e-06	5.93004445161321e-06	3.58112858324899e-05	3.03495781898141e-05	8.22967815159997e-06	1.06661140603763e-05	1.19471934051492e-05	0	5.14498569693976e-06	5.50392567498768e-06	1.25278251946019e-05	1.84425944138511e-05	9.09787546412162e-06	7.91532674741756e-06	4.1808379653534e-06	1.11690911040423e-05	7.76662835130013e-06	1.06064053142333e-05	1.14079935811023e-05	1.30117365864009e-05	8.09744464890492e-06	6.49979525644942e-06	5.27081444624823e-06	2.55846082996469e-05	4.37358746792247e-06	5.91745388528187e-06	3.34697784635364e-06	1.42697118231697e-05	3.92516284519354e-06	7.57171768742435e-06
